manacheck;Magic:Mana Check.;;;;;;;;x
manacheck_desc;Check your mana level;;;;;;;;x
Time_Boost;Alchemy:Transform Time;;;;;;;;x
Time_Boost_desc;Move your province beyond time;;;;;;;;x
2makeconduit;Make Magical Conduit;;;;;;;;x
2makeconduit_desc;Make the target a conduit of your magic;;;;;;;;x
2magicmeditation_decision;Sorcery:Magic Meditation;x
2magicmeditation_decision_desc;Focus your magics extending infinitely the range of your powers;x

2attribte_ritual_request_decision;Alchemy:Request attribute ritual;x
2attribte_ritual_request_decision_desc;Request attribute ritual;x
2attribte_request_War_Mage_trait_decision;War Magic:Request gift of warfare trait;x
2attribte_request_War_Mage_trait_decision_desc;Gift trait of warfare;x

2attribte_War_Mage_trait_decision;War Magic:Military Trait: Gift of Knowledge;;;;;;;;x
2attribte_War_Mage_trait_decision_desc;This Spell will confer a leadership trait of your choice to the target;;;;;;;;x



1possession_decision;Mind Magic:Curse of Possession;;;;;;x 
1possession_decision_desc;By casting this curse you inflict your enemy with a horde of demons and terror at the sight of the moon;;;;;;x


1mind_control_decision;Mind Magic:Curse of Mind Control;;;;;;x
1mind_control_decision_desc;By wielding the arcane arts you are able to take from others their very ability to choose to oppose you.;;;;;;x

1sorcerous_plague_decision;Herbalism:Curse of Plague;;;;;;x
1sorcerous_plague_decision_desc;Unleash the forces of disease and pestilence to destroy your enemies.;;;;;;x



2immortality_gift_decision;Alchemy:Gift of Eternity;;;;;;x
2immortality_gift_decision_desc;For those who master the arts of the arcane even the gift of eternal life is possible.;;;;;;x
2Heal_others_decision;Herbalism:Healing Touch;;;;;;x
2Heal_others_decision_desc;For those who play with life and death the giving of health is but a trifle;;;;;;x 


3vassal_sacrifice_sorcery_decision;Magic:Sacrifice;;;;;;x
3vassal_sacrifice_sorcery_decision_desc;Sorcery is fueled by your life energies. To ensure your own survival you will need to ritually sacrifice others to fuel your unholy powers;;;;;;x
4Sorcery_teach_decision;Magic:Teach Sorcery;;;;;;x
4Sorcery_teach_decision_desc;Sorcery is an arcane power learned from the foot of a master. Teach an acolyte your arts!;;;;;;x

0spell_Immortal;*Claim Immortality;;;;;;x
0spell_Immortal_desc;By sacrificing your vitality you can live till the end of time itself.;;;;;;x
1spell_foresight;Sorcery:Foresight Spell;;;;;;x
1spell_foresight_desc;Cast a spell and know all that moves within your realm.;;;;;;x
2spell_money;Alchemy:Transmute Gold;;;;;;x
2spell_money_desc;By sacrificing your life you gain in gold;;;;;;x
3spell_create_general;*Summon General;;;;;;x
3spell_create_general_desc;By giving of your life energy you call to your realm a mighty general;;;;;;x
4spell_heal;*Heal Self;;;;;;x
4spell_heal_desc;To heal yourself is well within your grasp;;;;;;x
4spell_ritual;*Ritual of Mind and Body;;;;;;x
4spell_ritual_desc;Boost your mind and body to the best you could become;;;;;;x
5spell_boost_martial;*Boost Martial;;;;;;x
5spell_boost_martial_desc;The loss of some vitality for the sake of martial competence is a small price to pay for some.;;;;;;x
5spell_boost_diplomacy;*Boost Diplomacy;;;;;;x
5spell_boost_diplomacy_desc;The loss of some vitality for the sake of diplomatic competence is a small price to pay for some.;;;;;;x
5spell_boost_intrigue;*Boost Intrigue;;;;;;x
5spell_boost_intrigue_desc;The loss of some vitality for the sake of increasing your skills in espionage is a small price to pay for some.;;;;;;x
5spell_boost_stewardship;*Boost Stewardship;;;;;;x
5spell_boost_stewardship_desc;The loss of some vitality for the sake of stewarding competence is a small price to pay for some.;;;;;;x
5spell_boost_learning;*Boost Learning;;;;;;x
5spell_boost_learning_desc;The loss of some vitality for the sake of intellectual competence is a small price to pay for some.;;;;;;x
5spell_boost_health;*Boost Health;;;;;;x
5spell_boost_health_desc;Filthy Cheater;;;;;;x

2requestHeal_decision;Herbalism:Request Healing.;;;;;;x
2requestHeal_decision_desc;Your subject is a master of healing, call upon them to heal your ailments!;;;;;;x



healspell.1;Healing Magic Unleashed.;;;;;;x
healspell.1_desc;My magic flows through my body unkniting old harms and restoring my battered form;;;;;;x
healspell.1a;Purge Deformity!;;;;;;x
healspell.1b;Purge Disease!;;;;;;x
healspell.1c;Pure Magic!;;;;;;x

ritual.1;Hebalism:Ritual of Self Empowerment;;;;;;x
ritual.1_desc;An arcane rite which empowers the caster to the limits of human capabaility.;;;;;;x
ritual.1a;UNLIMITED POWER!;;;;;;x

5spell_boost_stats;Alchemy:Attribute Empowerment;;;;;;x
5spell_boost_stats_desc;Empower your attributes and become whatever you wish to become;;;;;;x



1spell_precognition;Sorcery:Precognition;;;;;;x
1spell_precognition_desc;Look into the vastness of the ether and find the knowledge to save you now;;;;;;x




1reincarnation_decision;Sorcery:Incarnation;;;;;;x
1reincarnation_decision_desc;Targeting a victim who is under the age of 20, and suffering the possessed trait, leave your old life and body behind and live anew in a new form!;;;;;;x

immortalspell.1;Immortality;;;;;;x
immortalspell.1_desc;By calling forth the binding forces of life and death you can live now till the world itself breaks asunder;;;;;;x
immortalspell.1a;I shall live till the end of time!;;;;;;x

fp_Sorcerers_tower;Sorcerer's Palace;;;;;;x
fp_Sorcerers_tower_desc;Even the most hardworking Sorcerer needs somewhere to relax after the hard days of managing their estates.;;;;;;x
ca_Sorcerers_tower;Sorcerer's Fortress;;;;;;x
ca_Sorcerers_tower_desc;When the unenlightened come bashing on your doors it is time to prepare yourself for the worst, retreat to your fortress and muster your forces;;;;;;x
ct_Sorcerers_tower;Sorcerer's Tower;;;;;;x
ct_Sorcerers_tower_desc;What is a Sorcerer without his trademark tower to dwell in by the sea?;;;;;;x
ca_Sorcerers_hovel;Sorceror's Fort;;;;;;x
ca_Sorcerers_hovel_desc;A small fortress prepared for all the needs of the hidden sorceror.;;;;;;x
ct_Sorcerers_manor;Sorceror's Manor;;;;;;x
ct_Sorcerers_manor_desc;When world domination can take a back seat, this noble manor provides your sorceror with some well earned relaxation.;;;;;;x
Sorcerers_outpost; Sorceror's Outpost;;;;;;x
Sorcerers_outpost_desc;A small overseas enclave to help your Sorcerer to sell his wares;;;;;;x

2ritual_of_mind_and_body_decision;Herbalism:Ritual of Mind and Body;;;;;;x
2ritual_of_mind_and_body_decision_desc;Improve the body and mind of the target.;;;;;;x 

2Foresight_reveal_decision;Sorcery:Foresight!;;;;;;x
2Foresight_reveal_decision_desc;Look into the ether and see what plots are stirring.;;;;;;x

2attribte_ritual_decision;Alchemy:Attribute Ritual;;;;;;x
2attribte_ritual_decision_desc;Let the stats of your target increase!;;;;;;x
2precognition_decision;Sorcery:Precognition;;;;;;x 
2precognition_decision_desc;Let the target see what lies in the future for them!;;;;;;x 
2transmute_decision;Alchemy:Transmute Gold!;;;;;;x
2transmute_decision_desc;Convert life into gold for the target;;;;;;x


2Summon_General_decision;Summon General;;;;;;x
2Summon_General_decision_desc;Summon a mighty General;;;;;;x
general.1;Summon General;;;;;;x
general.1_desc;By sacrificing your life energies you call upon the winds of magic to bring to you a great general, to hold back the tide of your enemies.;;;;;;x
general.1a;By Caesar!;;;;;;x


explore_library;Explore the Libraries of the world;;;;;;x
explore_library_desc;Secrets long lost to the world can be found in the darkest corners;;;;;;x
sorceryfocus.1;The search begins.;;;;;;x
sorceryfocus.1_desc;Your lust for the arcane secrets long lost to the passage of the time has brought you to an ancient library... Perhaps in here you will find the answers you so desperately seek.;;;;;;x 
sorceryfocus.1a;Ah these books on Herbalism!;;;;;;x
