militarytrait.1a;Unyielding Leader, Flanker, Narrow Flank Leader;;;;;;;;x
militarytrait.1b;Trickster, Organizer, Expermenter;;;;;;;;x
militarytrait.1c;Siege Leader, Aggressive Leader, Defensive Leader;;;;;;;;x
militarytrait.1d;Next Page;;;;;;;;x
militarytrait.1d_desc;;;;;;;;x
militarytrait.5a;Winter Soldier, Jungle Terrain Leader, Holy Warrior.;;;;;;;;x
militarytrait.5b;Heavy Infantry Leader, Light Foot Leader, Cavalry Leader;;;;;;;;x
militarytrait.5c;Mountain Terrain Leader, Rough Terrain Leader, Flat Terrain Leader;;;;;;;;x
militarytrait.5d;Inspiring Leader, Desert Terrain Leader, War Elephant Leader;;;;;;;;x
militarytrait.2a;Unyielding Leader;;;;;;;;x
militarytrait.2b;Flanker;;;;;;;;x
militarytrait.2c;Narrow Flank Leader;;;;;;;;x
militarytrait.3a;Trickster;;;;;;;;x
militarytrait.3b;Organizer;;;;;;;;x
militarytrait.3c;Expermenter;;;;;;;;x
militarytrait.4a;Siege Leader;;;;;;;;x
militarytrait.4b;Aggressive Leader;;;;;;;;x
militarytrait.4c;Defensive;;;;;;;;x
militarytrait.6a;Winter Soldier;;;;;;;;x
militarytrait.6b;Jungle Terrain Leader;;;;;;;;x
militarytrait.6c;Holy Warrior;;;;;;;;x
militarytrait.7a;Heavy Infantry Leader;;;;;;;;x
militarytrait.7b;Light Foot Leader;;;;;;;;x
militarytrait.7c;Cavalry Leader;;;;;;;;x
militarytrait.8a;Mountain Terrain Leader;;;;;;;;x
militarytrait.8b;Rough Terrain Leader;;;;;;;;x
militarytrait.8c;Flat Terrain Leader;;;;;;;;x
militarytrait.9a;Inspiring Leader;;;;;;;;x
militarytrait.9b;Desert Terrain Leader;;;;;;;;x
militarytrait.9c;War Elephant Leader;;;;;;;;x

possessionspell.1;Possession;;;;;;x
possessionspell.1_desc;By drawing forth your powers you enter the mind of your target, being free to inflict whatever harm it is you wish upon their mental disposition.;;;;;;x
possessionspell.1a;Lunacy!;;;;;;x
possessionspell.1a_desc;Your magic bends the very corners of their mind, leaving them thinking of laws of pants;;;;;;x
possessionspell.1b;Possessed!;;;;;;x
possessionspell.1b_desc;You invite daemons of hell to inhabit your target, driving them into the insanity of possession;;;;;;x
possessionspell.1c;Stressed and Depressed.;;;;;;x
possessionspell.1c_desc;Your magic strains the thoughts of the target, cracking their ability to think and reducing their strength to endure.;;;;;;x
possessionspell.1d;Imbecile!;;;;;;x
possessionspell.1d_desc;By raw exertion you destroy the victims mind!;;;;;;x

plagues.1;Plagues;;;;;;x
plagues.1_desc;Use your magic to inflict an ailment unto your target, with the potential to additionally cause the onset of the dreaded plague.;;;;;;x
plagues.1a;Tuberculosis;;;;;;x
plagues.1a_desc;Let lose an infection of the lungs;;;;;;x
plagues.1b;Small Pox;;;;;;x
plagues.1b_desc;Let Small Pox devastate your people;;;;;;x
plagues.1c;Typhus;;;;;;x
plagues.1c_desc;Typhus shall take yee;;;;;;x
plagues.1d;Black Death!;;;;;;x
plagues.1d_desc;With power alone you make their life a misery!;;;;;;x

precognition.1;Precognition;;;;;;x
precognition.1_desc;Gazing deep into the future, you seek to find secrets that will make the future the present. But beware, madness comes to those who gaze too long or too deep.;;;;;;x
precognition.1a;Advance Economy;;;;;;x
precognition.1b;Advance Military;;;;;;x
precognition.1c;Advance Culture;;;;;;x 


statsritual.1;Empowerment Ritual(stats);;;;;;x
statsritual.2;Empowerment Ritual(stats);;;;;;x
statsritual.1_desc;By calling forth your life energies you empower your characteristics as you so desire.;;;;;;x
statsritual.1a;Martial;;;;;;x
statsritual.1b;Diplomacy;;;;;;x
statsritual.1c;Intrigue;;;;;;x
statsritual1;Martial, Diplomacy or Intrigue;;;;;;x
statsritual2; Stewardship or Learning;;;;;;x
statsritual.1d;Stewardship;;;;;;x
statsritual.1e;Learning;;;;;;x

foresight.1;Sorcery:Foresight!;;;;;;x
foresight.1_desc;By reaching deep into the ether ancient magics have pierced all plots that rise against you!;;;;;;x
foresight.1a;Reveal all that moves in the land!;;;;;;x


transmute.1;Transmutation!;;;;;;x
transmute.1_desc;Magic flows and burns as it converts life itself into blocks of gold!;;;;;;x
transmute.1a;MONEY MONEY MONEY!;;;;;;x

skeleton.1;THE DEAD AWAKE!;;;;;;x
skeleton.1_desc;Your armies are broken, but all is not lost, for you are a master of the damned, and they if no one else will still answer your call!;;;;;;x
skeleton.1a;The dead march to war!;;;;;;x
skeleton.2;THE DAEMONS AWAKE!;;;;;;x
skeleton.2_desc;Your armies are broken, but all is not lost, for you are a master of the damned, and they if no one else will still answer your call!;;;;;;x
skeleton.2a;The dead march to war!;;;;;;x
skeleton.3;THE DREADKNIGHTS AWAKE!;;;;;;x
skeleton.3_desc;Your armies are broken, but all is not lost, for you are a master of the damned, and they if no one else will still answer your call!;;;;;;x
skeleton.3a;The dead march to war!;;;;;;x


brokenmindbody.1;LET YEE BE DAMNED AND BROKEN!;;;;;;x
brokenmindbody.1_desc;Your long studies have taught you many ways to shatter the inferior being whom has raised your ire. You decide however, that rather than simply ending their existence, you will introduce to them suffering beyond their worst imaginings. You shall break their mind and their body, and leave the husk to simply wither!;;;;;;x
brokenmindbody.1a;Dwarf!;;;;;;x 
brokenmindbody.1a_desc;Inflict the curse of dwarfness on your foe;;;;;;x
brokenmindbody.1b;Weak!;;;;;;x
brokenmindbody.1b_desc;Strike down your foe with physical weakness;;;;;;x
